player,serve_rating,1st_serve,1st_serve_points_won,2nd_serve_points_won,service_games_won_percent,avg_aces_per_match,avg_double_faults_per_match,id_player,id_leaderboard
John Isner,312.2,69.2,78.7,56.2,91.9,18.5,2.3,23,1
Ivo Karlovic,309.8,65.5,82.7,53.3,92.0,19.8,3.5,336,2
Reilly Opelka,304.9,64.1,79.4,55.1,90.5,18.7,2.9,17,3
Milos Raonic,302.8,62.9,81.4,55.1,91.2,15.5,3.3,156,4
Andy Roddick,299.9,64.8,79.3,56.0,90.1,11.7,2.0,0,5
Nick Kyrgios,295.0,65.5,77.2,52.9,88.0,14.9,3.5,132,6
Joachim Johansson,293.4,62.1,79.2,52.8,89.3,14.3,4.3,0,7
Kevin Anderson,291.0,64.5,77.0,52.9,86.7,12.9,3.0,90,8
Roger Federer,290.9,62.1,77.3,56.8,88.8,7.8,1.9,27,9
Wayne Arthurs,290.4,55.7,81.2,54.7,88.2,15.8,5.2,0,10
Matteo Berrettini,289.0,62.8,77.9,53.1,87.4,9.8,2.0,6,11
Pete Sampras,289.0,59.5,80.9,52.6,88.7,11.0,3.7,0,12
Chris Guccione,287.7,60.0,78.5,51.5,86.4,14.6,3.3,0,13
Richard Krajicek,286.9,58.2,81.4,51.1,87.2,12.6,3.6,0,14
Jo-Wilfried Tsonga,286.8,62.0,77.6,52.8,86.9,9.9,2.4,215,15
Wesley Moodie,285.2,68.9,73.5,51.3,83.8,10.8,3.1,0,16
Rafael Nadal,284.7,68.1,72.1,57.3,85.8,3.1,1.7,4,17
Sam Groth,284.4,60.5,78.3,50.7,84.5,15.4,5.0,0,18
Gilles Muller,284.3,61.4,78.0,50.2,84.9,13.4,3.6,0,19
Stefanos Tsitsipas,283.8,61.9,76.0,54.8,86.2,7.1,2.2,5,20
Novak Djokovic,283.2,64.9,73.8,55.4,85.8,5.6,2.3,2,21
Greg Rusedski,283.2,58.0,79.8,52.3,86.5,11.2,4.6,0,22
Ivan Ljubicic,282.5,58.4,77.5,51.8,85.3,12.0,2.5,0,23
Sam Querrey,282.5,59.1,78.9,50.3,84.8,12.8,3.4,114,24
Goran Ivanisevic,282.2,54.9,82.5,50.1,85.7,13.9,4.9,0,25
Mark Philippoussis,281.7,57.9,79.9,49.9,85.3,13.9,5.2,0,26
Juan Martin del Potro,281.4,63.8,74.4,53.2,84.8,7.5,2.3,737,27
Arthur Rinderknech,280.8,64.1,76.2,47.9,84.0,10.8,2.2,57,28
Mario Ancic,279.1,61.3,75.5,51.9,83.8,9.3,2.7,0,29
Brandon Nakashima,279.1,60.3,75.0,54.4,84.2,7.3,2.1,80,30
Max Mirnyi,278.9,62.5,75.8,51.1,83.8,9.4,3.7,0,31
Boris Becker,278.4,57.4,79.4,50.2,85.8,10.4,4.8,0,32
Guy Forget,278.3,58.1,77.8,51.7,84.0,9.0,2.3,0,33
Todd Martin,278.1,61.6,75.6,51.1,83.6,9.5,3.3,0,34
Hubert Hurkacz,278.0,63.3,74.0,51.3,83.1,8.9,2.6,11,35
Robin Soderling,277.8,61.1,75.7,51.7,83.9,8.4,3.0,0,36
Daniel Brands,277.4,65.9,72.7,51.2,81.8,8.8,3.0,940,37
Patrick Rafter,277.4,61.9,75.6,51.7,84.7,7.1,3.6,0,38
Tomas Berdych,276.9,58.0,76.9,52.4,84.4,7.7,2.5,0,39
Feliciano Lopez,276.9,58.5,76.1,51.5,83.8,10.5,3.5,112,40
Michael Stich,276.5,56.6,77.8,52.5,85.3,8.3,4.0,0,41
Jim Courier,276.4,62.2,74.2,53.3,84.1,5.2,2.6,0,42
