player,rank,age,player_point,tournament_played,next_best,id_player
Daniil Medvedev,1,26.0,8615,23,0,1
Novak Djokovic,2,34.0,8465,13,0,2
Alexander Zverev,3,24.0,7515,24,10,3
Rafael Nadal,4,35.0,6515,11,0,4
Stefanos Tsitsipas,5,23.0,6325,27,45,5
Matteo Berrettini,6,25.0,4928,22,5,6
Andrey Rublev,7,24.0,4590,28,90,7
Casper Ruud,8,23.0,3915,31,90,8
Felix Auger-Aliassime,9,21.0,3883,25,45,9
Jannik Sinner,10,20.0,3495,38,44,10
Hubert Hurkacz,11,25.0,3468,28,10,11
Cameron Norrie,12,26.0,3305,29,45,12
Denis Shapovalov,13,22.0,3020,27,46,13
Diego Schwartzman,14,29.0,2660,26,0,14
Roberto Bautista Agut,15,33.0,2480,28,90,15
Pablo Carreno Busta,16,30.0,2220,24,0,16
Reilly Opelka,17,24.0,2156,28,0,17
Nikoloz Basilashvili,18,30.0,2121,33,10,18
Carlos Alcaraz,19,18.0,2056,22,0,19
Taylor Fritz,20,24.0,2010,32,80,20
Lorenzo Sonego,21,26.0,1937,34,10,21
Aslan Karatsev,22,28.0,1933,39,30,22
John Isner,23,36.0,1801,18,0,23
Marin Cilic,24,33.0,1785,25,0,24
Cristian Garin,25,25.0,1716,28,10,25
Karen Khachanov,26,25.0,1680,30,46,26
Roger Federer,27,40.0,1665,8,0,27
Gael Monfils,28,35.0,1633,23,0,28
Daniel Evans,29,31.0,1542,33,0,29
Frances Tiafoe,30,24.0,1463,27,20,30
Alex de Minaur,31,23.0,1451,28,0,31
Lloyd Harris,32,25.0,1393,31,10,32
Alexander Bublik,33,24.0,1391,38,0,33
Federico Delbonis,34,31.0,1382,34,10,34
Grigor Dimitrov,35,30.0,1381,24,0,35
Fabio Fognini,36,34.0,1359,28,10,36
Albert Ramos-Vinolas,37,34.0,1314,38,0,37
Sebastian Korda,38,21.0,1289,32,3,38
Tommy Paul,39,24.0,1252,34,0,39
Filip Krajinovic,40,30.0,1212,30,20,40
Ilya Ivashka,41,28.0,1179,28,0,41
Ugo Humbert,42,23.0,1178,30,10,42
Jenson Brooksby,43,21.0,1153,25,4,43
Dusan Lajovic,44,31.0,1126,33,10,44
Alejandro Davidovich Fokina,45,22.0,1115,33,20,45
Kei Nishikori,46,32.0,1110,17,0,46
Botic van de Zandschulp,47,26.0,1096,35,10,47
Marton Fucsovics,48,30.0,1082,31,30,48
Pedro Martinez,49,24.0,1072,41,0,49
Dominic Thiem,50,28.0,1070,13,0,50
Dominik Koepfer,51,27.0,1054,34,10,51
Laslo Djere,52,26.0,1041,34,20,52
Benoit Paire,53,32.0,1040,41,0,53
Tallon Griekspoor,54,25.0,1024,37,16,54
Marcos Giron,55,28.0,1001,29,0,55
Lorenzo Musetti,56,20.0,1000,41,4,56
Arthur Rinderknech,57,26.0,986,44,8,57
Jan-Lennard Struff,58,31.0,984,29,0,58
Mackenzie McDonald,59,26.0,976,33,10,59
Sebastian Baez,60,21.0,965,36,11,60
Miomir Kecmanovic,61,22.0,921,32,10,61
Benjamin Bonzi,62,25.0,909,41,13,62
James Duckworth,63,30.0,906,32,0,63
Soonwoo Kwon,64,24.0,906,32,0,64
Federico Coria,65,29.0,906,44,10,65
Adrian Mannarino,66,33.0,904,35,0,66
Alex Molcan,67,24.0,903,39,8,67
Hugo Gaston,68,21.0,887,37,8,68
Pablo Andujar,69,36.0,885,31,10,69
Emil Ruusuvuori,70,22.0,876,40,20,70
David Goffin,71,31.0,861,25,0,71
