player_1;player_2;score;set_1;set_2;set_3;id_player_1;id_player_2;id_tournament;id_match
Taylor Fritz;Rafael Nadal;63 765;63;765;;20;4;19;1
Rafael Nadal;Carlos Alcaraz;64 46 63;64;46;63;4;19;19;2
Taylor Fritz;Andrey Rublev;75 64;75;64;;20;7;19;3
Rafael Nadal;Nick Kyrgios;760 57 64;760;57;64;4;132;19;4
Andrey Rublev;Grigor Dimitrov;75 62;75;62;;7;35;19;5
Carlos Alcaraz;Cameron Norrie;64 63;64;63;;19;12;19;6
Taylor Fritz;Miomir Kecmanovic;765 36 61;765;36;61;20;61;19;7
Rafael Nadal;Reilly Opelka;763 765;763;765;;4;17;19;8
Miomir Kecmanovic;Matteo Berrettini;63 675 64;63;675;64;61;6;19;9
Andrey Rublev;Hubert Hurkacz;765 64;765;64;;7;11;19;10
Nick Kyrgios;Jannik Sinner;(W/O);(W/O);;;132;10;19;11
Cameron Norrie;Jenson Brooksby;62 64;62;64;;12;43;19;12
Carlos Alcaraz;Gael Monfils;75 61;75;61;;19;28;19;13
Taylor Fritz;Alex de Minaur;36 64 765;36;64;765;20;31;19;14
Grigor Dimitrov;John Isner;63 766;63;766;;35;23;19;15
Gael Monfils;Daniil Medvedev;46 63 61;46;63;61;28;1;19;16
Rafael Nadal;Daniel Evans;75 63;75;63;;4;29;19;17
Jenson Brooksby;Stefanos Tsitsipas;16 63 62;16;63;62;43;5;19;18
Matteo Berrettini;Lloyd Harris;64 75;64;75;;6;32;19;19
Andrey Rublev;Frances Tiafoe;63 64;63;64;;7;30;19;20
Nick Kyrgios;Casper Ruud;64 64;64;64;;132;8;19;21
Jannik Sinner;Benjamin Bonzi;765 36 64;765;36;64;10;62;19;22
Hubert Hurkacz;Steve Johnson;767 63;767;63;;11;115;19;23
Cameron Norrie;Nikoloz Basilashvili;36 63 61;36;63;61;12;18;19;24
Reilly Opelka;Denis Shapovalov;674 64 64;674;64;64;17;13;19;25
John Isner;Diego Schwartzman;75 63;75;63;;23;14;19;26
Carlos Alcaraz;Roberto Bautista Agut;62 60;62;60;;19;15;19;27
Taylor Fritz;Jaume Munar;64 26 762;64;26;762;20;99;19;28
Alex de Minaur;Tommy Paul;762 64;762;64;;31;39;19;29
Grigor Dimitrov;Alexander Bublik;63 64;63;64;;35;33;19;30
Miomir Kecmanovic;Botic van de Zandschulp;763 75;763;75;;61;47;19;31
Daniil Medvedev;Tomas Machac;63 62;63;62;;1;158;19;32
Tommy Paul;Alexander Zverev;62 46 762;62;46;762;39;3;19;33
Rafael Nadal;Sebastian Korda;62 16 763;62;16;763;4;38;19;34
Stefanos Tsitsipas;Jack Sock;765 36 765;765;36;765;5;147;19;35
Matteo Berrettini;Holger Rune;63 46 64;63;46;64;6;86;19;36
Andrey Rublev;Dominik Koepfer;75 64;75;64;;7;51;19;37
Casper Ruud;Christopher Eubanks;765 62;765;62;;8;157;19;38
Botic van de Zandschulp;Felix Auger-Aliassime;764 674 63;764;674;63;47;9;19;39
Jannik Sinner;Laslo Djere;63 63;63;63;;10;52;19;40
Hubert Hurkacz;Oscar Otte;63 36 63;63;36;63;11;76;19;41
Cameron Norrie;Pedro Martinez;63 63;63;63;;12;49;19;42
Denis Shapovalov;Alejandro Davidovich Fokina;46 64 62;46;64;62;13;45;19;43
Diego Schwartzman;Emil Ruusuvuori;57 63 63;57;63;63;14;70;19;44
Roberto Bautista Agut;J.J. Wolf;63 673 765;63;673;765;15;209;19;45
Jaume Munar;Pablo Carreno Busta;46 64 764;46;64;764;99;16;19;46
Reilly Opelka;Lorenzo Musetti;61 64;61;64;;17;56;19;47
Nikoloz Basilashvili;Fabio Fognini;(W/O);(W/O);;;18;36;19;48
Carlos Alcaraz;Mackenzie McDonald;63 63;63;63;;19;59;19;49
Taylor Fritz;Kamil Majchrzak;61 61;61;61;;20;75;19;50
Benjamin Bonzi;Lorenzo Sonego;63 64;63;64;;62;21;19;51
Steve Johnson;Aslan Karatsev;765 64;765;64;;115;22;19;52
John Isner;Sam Querrey;766 762;766;762;;23;114;19;53
