player,rank,age,player_point,tournament_played,next_best
Daniil Medvedev,1,26,"8,615",23,0
Novak Djokovic,2,34,"8,465",13,0
Alexander Zverev,3,24,"7,515",24,10
Rafael Nadal,4,35,"6,515",11,0
Stefanos Tsitsipas,5,23,"6,325",27,45
Matteo Berrettini,6,25,"4,928",22,5
Andrey Rublev,7,24,"4,590",28,90
Casper Ruud,8,23,"3,915",31,90
Felix Auger-Aliassime,9,21,"3,883",25,45
Jannik Sinner,10,20,"3,495",38,44
Hubert Hurkacz,11,25,"3,468",28,10
Cameron Norrie,12,26,"3,305",29,45
Denis Shapovalov,13,22,"3,020",27,46
Diego Schwartzman,14,29,"2,660",26,0
Roberto Bautista Agut,15,33,"2,480",28,90
Pablo Carreno Busta,16,30,"2,220",24,0
Reilly Opelka,17,24,"2,156",28,0
Nikoloz Basilashvili,18,30,"2,121",33,10
Carlos Alcaraz,19,18,"2,056",22,0
Taylor Fritz,20,24,"2,010",32,80
Lorenzo Sonego,21,26,"1,937",34,10
Aslan Karatsev,22,28,"1,933",39,30
John Isner,23,36,"1,801",18,0
Marin Cilic,24,33,"1,785",25,0
Cristian Garin,25,25,"1,716",28,10
Karen Khachanov,26,25,"1,680",30,46
Roger Federer,27,40,"1,665",8,0
Gael Monfils,28,35,"1,633",23,0
Daniel Evans,29,31,"1,542",33,0
Frances Tiafoe,30,24,"1,463",27,20
Alex de Minaur,31,23,"1,451",28,0
Lloyd Harris,32,25,"1,393",31,10
Alexander Bublik,33,24,"1,391",38,0
Federico Delbonis,34,31,"1,382",34,10
Grigor Dimitrov,35,30,"1,381",24,0
Fabio Fognini,36,34,"1,359",28,10
Albert Ramos-Vinolas,37,34,"1,314",38,0
Sebastian Korda,38,21,"1,289",32,3
Tommy Paul,39,24,"1,252",34,0
Filip Krajinovic,40,30,"1,212",30,20
Ilya Ivashka,41,28,"1,179",28,0
Ugo Humbert,42,23,"1,178",30,10
Jenson Brooksby,43,21,"1,153",25,4
Dusan Lajovic,44,31,"1,126",33,10
Alejandro Davidovich Fokina,45,22,"1,115",33,20
Kei Nishikori,46,32,"1,110",17,0
Botic van de Zandschulp,47,26,"1,096",35,10
Marton Fucsovics,48,30,"1,082",31,30
Pedro Martinez,49,24,"1,072",41,0
Dominic Thiem,50,28,"1,070",13,0
Dominik Koepfer,51,27,"1,054",34,10
Laslo Djere,52,26,"1,041",34,20
Benoit Paire,53,32,"1,040",41,0
Tallon Griekspoor,54,25,"1,024",37,16
Marcos Giron,55,28,"1,001",29,0
Lorenzo Musetti,56,20,"1,000",41,4
Arthur Rinderknech,57,26,986,44,8
Jan-Lennard Struff,58,31,984,29,0
Mackenzie McDonald,59,26,976,33,10
Sebastian Baez,60,21,965,36,11
Miomir Kecmanovic,61,22,921,32,10
Benjamin Bonzi,62,25,909,41,13
James Duckworth,63,30,906,32,0
Soonwoo Kwon,64,24,906,32,0
Federico Coria,65,29,906,44,10
Adrian Mannarino,66,33,904,35,0
Alex Molcan,67,24,903,39,8
Hugo Gaston,68,21,887,37,8
Pablo Andujar,69,36,885,31,10
Emil Ruusuvuori,70,22,876,40,20
David Goffin,71,31,861,25,0
Maxime Cressy,72,24,852,36,0
Roberto Carballes Baena,73,28,836,42,16
Jiri Vesely,74,28,825,40,0
Kamil Majchrzak,75,26,823,31,0
Oscar Otte,76,28,818,40,0
John Millman,77,32,818,37,10
Jordan Thompson,78,27,800,33,0
