tournament_name,tournament_location,tournament_date,tournament_draw,tournament_surface,tournament_financial_commitment
ATP Cup,"Sydney, Australia",2022.01.01,SGL 16 DBL 16,Outdoor Hard,"$10,000,000"
Adelaide International 1,"Adelaide, Australia",2022.01.03,SGL 16 DBL 16,Outdoor Hard,"$416,800"
Melbourne Summer Set,"Melbourne, Australia",2022.01.04,SGL 16 DBL 16,Outdoor Hard,"$521,000"
Sydney Tennis Classic,"Sydney, Australia",2022.01.10,SGL 16 DBL 16,Outdoor Hard,"$521,000"
Adelaide International 2,"Adelaide, Australia",2022.01.10,SGL 16 DBL 16,Outdoor Hard,"$493,875"
Australian Open,"Melbourne, Australia",2022.01.17,SGL 16 DBL 16,Outdoor Hard,"A$33,784,200"
Cordoba Open,"Cordoba, Argentina",2022.01.31,SGL 16 DBL 16,Outdoor Hard,"$493,875"
Tata Open Maharashtra,"Pune, India",2022.01.31,SGL 16 DBL 16,Outdoor Hard,"$493,875"
Open Sud de France – Montpellier,"Montpellier, France",2022.01.31,SGL 16 DBL 16,Outdoor Hard,"€490,990"
ABN Amro World Tennis Tournament,"Rotterdam, Netherlands",2022.02.07,SGL 16 DBL 16,Outdoor Hard,"€1,349,070"
Dallas Open,"Dallas, United States",2022.02.07,SGL 16 DBL 16,Outdoor Hard,"$792,980"
Argentina Open,"Buenos Aires, Argentina",2022.02.07,SGL 16 DBL 16,Outdoor Hard,"$686,700"
Rio Open presented by Claro,"Rio de Janeiro, Brazil",2022.02.14,SGL 16 DBL 16,Outdoor Hard,"$1,815,115"
Qatar ExxonMobil Open,"Doha, Qatar",2022.02.14,SGL 16 DBL 16,Outdoor Hard,"$1,176,595"
Delray Beach Open by VITACOST.com,"Delray Beach, United States",2022.02.14,SGL 16 DBL 16,Outdoor Hard,"$664,275"
Open 13 Provence,"Marseille, France",2022.02.14,SGL 16 DBL 16,Outdoor Hard,"€622,610"
Dubai Duty Free Tennis Championships,"Dubai, United Arab Emirates",2022.02.21,SGL 16 DBL 16,Outdoor Hard,"$2,949,665"
Abierto Mexicano Telcel presentado por HSBC,"Acapulco, Mexico",2022.02.21,SGL 16 DBL 16,Outdoor Hard,"$1,832,890"
Chile Dove Men+Care Open,"Santiago, Chile",2022.02.21,SGL 16 DBL 16,Outdoor Hard,"$546,340"
BNP Paribas Open,"Indian Wells, United States",2022.03.10,SGL 16 DBL 16,Outdoor Hard,"$9,554,920"
Miami Open presented by Itau,"Miami, United States",2022.03.23,SGL 16 DBL 16,Outdoor Hard,"$9,554,920"
Fayez Sarofim & Co. U.S. Men's Clay Court Championship,"Houston, United States",2022.04.04,SGL 16 DBL 16,Outdoor Hard,"$665,330"
Grand Prix Hassan II,"Marrakech, Morocco",2022.04.04,SGL 16 DBL 16,Outdoor Hard,"€597,900"
Rolex Monte-Carlo Masters,"Monte Carlo, Monaco",2022.04.10,SGL 16 DBL 16,Outdoor Hard,"€5,802,475"
Barcelona Open Banc Sabadell,"Barcelona, Spain",2022.04.18,SGL 16 DBL 16,Outdoor Hard,"€2,802,580"
Serbia Open,"Belgrade, Serbia",2022.04.18,SGL 16 DBL 16,Outdoor Hard,"€597,900"
BMW Open by American Express,"Munich, Germany",2022.04.25,SGL 16 DBL 16,Outdoor Hard,"€597,900"
Millennium Estoril Open,"Estoril, Portugal",2022.04.25,SGL 16 DBL 16,Outdoor Hard,"€597,900"
Mutua Madrid Open,"Madrid, Spain",2022.05.01,SGL 16 DBL 16,Outdoor Hard,"€7,499,290"
Internazionali BNL d'Italia,"Rome, Italy",2022.05.08,SGL 16 DBL 16,Outdoor Hard,"€6,008,725"
Gonet Geneva Open,"Geneva, Switzerland",2022.05.15,SGL 16 DBL 16,Outdoor Hard,"€597,900"
Open Parc Auvergne-Rhone-Alpes Lyon,"Lyon, France",2022.05.15,SGL 16 DBL 16,Outdoor Hard,"€597,900"
Roland Garros,"Paris, France",2022.05.22,SGL 16 DBL 16,Outdoor Hard,
Weissenhof,"Stuttgart, Germany",2022.06.06,SGL 16 DBL 16,Outdoor Hard,"€769,645"
Libema Open,"'s-Hertogenbosch, Netherlands",2022.06.06,SGL 16 DBL 16,Outdoor Hard,"€725,540"
Cinch Championships,"London, Great Britain",2022.06.13,SGL 16 DBL 16,Outdoor Hard,"€2,275,275"
Terra Wortmann Open,"Halle, Germany",2022.06.13,SGL 16 DBL 16,Outdoor Hard,"€2,275,275"
Mallorca Championships,"Mallorca, Spain",2022.06.19,SGL 16 DBL 16,Outdoor Hard,"€951,745"
Rothesay International,"Eastbourne, Great Britain",2022.06.20,SGL 16 DBL 16,Outdoor Hard,"€760,750"
Wimbledon,"London, Great Britain",2022.06.27,SGL 16 DBL 16,Outdoor Hard,
Infosys Hall of Fame Open,"Newport, United States",2022.07.11,SGL 16 DBL 16,Outdoor Hard,
Nordea Open,"Bastad, Sweden",2022.07.11,SGL 16 DBL 16,Outdoor Hard,
EFG Swiss Open Gstaad,"Gstaad, Switzerland",2022.07.18,SGL 16 DBL 16,Outdoor Hard,
Hamburg European Open,"Hamburg, Germany",2022.07.18,SGL 16 DBL 16,Outdoor Hard,
Generali Open,"Kitzbuhel, Austria",2022.07.25,SGL 16 DBL 16,Outdoor Hard,
Plava Laguna Croatia Open Umag,"Umag, Croatia",2022.07.25,SGL 16 DBL 16,Outdoor Hard,
TRUIST Atlanta Open presented by Fiserv,"Atlanta, United States",2022.07.25,SGL 16 DBL 16,Outdoor Hard,
Abierto de Tenis Mifel,"Los Cabos, Mexico",2022.08.01,SGL 16 DBL 16,Outdoor Hard,
Citi Open,"Washington, United States",2022.08.01,SGL 16 DBL 16,Outdoor Hard,
National Bank Open Presented by Rogers,"Montreal, Canada",2022.08.07,SGL 16 DBL 16,Outdoor Hard,
